Discipline (분야)	English (영어)	Korean (한국어)
소방	Above the ceiling	천장 상부
소방	Aboveground Pipe and Tube	지상 배관 및 튜브
건축	Access	접근
건축	Accessible Means of Egress	장애인 피난수단
건축	Accessible Means of Egress Required	장애인 피난수단 요구사항
건축	Accessory Occupancies	부속 용도
건축	Accessory Storage Spaces	부속 저장공간
소방	Additional Locations Based on Travel Distance	피난거리에 기반한 추가 위치
소방	Administration	관리
건축	Aerosol  Fire-extinguishing Systems	에어로졸 소화설비
건축	Aerosol Storage Uses	에어로졸 저장 용도
건축	Aggregate Area of Mezzanines And Equipment Platforms	메자닌과 장비 플랫폼의 총 면적
소방	Air or Nitrogen Supply Piping	공기 또는 질소 공급배관
소방	Air Pressure	공기압
소방	Air Supply	공기 공급
소방	Air Supply	급기
소방	Air Venting	공기 배출
건축	Airflow Design Method	기류 설계 방식
건축	Aisle Accessways In Group M	Group M의 통로 접근로
소방	Aisle and Flue Space Requirements for Storage	저장을 위한 복도 및 연도 공간의 요구 사항
건축	Aisles	통로
건축	Aisles In Groups B And M	Group B 및 M 통로
건축	Aisles In Other Than Assembly Spaces And Groups B And M	집회용도 및 Group B, M 외의 통로
건축	Alarm Activation And Annunciation	경보 작동 및 발신
소방	Alarm Control Units	경보 제어 장치
소방	Alarm Signal Initiation — Fire Suppression Systems Other Than Sprinklers	경보 신호 개시 — 스프링클러 외의 소화 시스템
소방	Alarm Signals	경보 신호
소방	Alarm System Notification Outputs	경보 시스템의 통보 출력
건축	Allowable Area	허용 면적
건축	Allowable Area Determination	허용 면적 산정
건축	Allowable Building Area	허용 건물 면적
건축	Allowable Building Area, Height And Number of Stories	허용 건물 면적, 높이 및 층수
건축	Allowable Building Height	허용 건물 높이
건축	Allowable Building Height And Number of Stories	허용 건물 높이 및 층수
건축	Allowable Materials	허용 물질
소방	Allowable Sprinkler Omission Locations	스프링클러 생략이 허용된 장소
건축	Alternative Automatic Fire-extinguishing System	대체 자동소화설비
건축	Amount of Increase	증가량
소방	Appliance Location	경보장치 위치
건축	Applicability	적용성
소방	Application	적용범위
소방	Application	적용
소방	Approval Required	승인 요구 사항
건축	Area	면적, 구획
건축	Area Limitation	면적 제한
소방	Area of Coverage	적용 범위
건축	Area of Refuge	피난 구역
건축	Area of Refuge	피난안전구역
건축	Area Smoke Detection	구역 연기감지
건축	Atriums Connecting More Than Two Stories	2개 층 이상을 연결하는 아트리움
건축	Attic, Under-floor And Concealed Spaces	다락, 바닥 하부 및 은폐공간
소방	Audible Characteristics	가청 특성
소방	Automatic Detection	자동감지
소방	Automatic Detection	자동 감지
소방	Automatic Response	자동 응답
건축	Automatic Smoke Detection	자동 연기감지
건축	Automatic Sprinkler System	자동스프링클러설비
건축	Automatic Sprinkler System	자동 스프링클러시스템
건축	Automatic Sprinkler Systems	자동 스프링클러시스템
건축	Automatic Water Mist Systems	자동 물분무소화설비
소방	Autonomous Control Unit (ACU)	자율 제어 장치(ACU)
소방	Auxiliary Systems	보조 시스템
건축	Basements	지하실
