
==================================================
Sheet: Zoning_Glossary
==================================================
No.	English (영어)	Korean (한국어)	English Description (영어 설명)	Korean Description (한국어 설명)
1	Floor Area Ratio (FAR)	면적율	A measure of density, intended to give some flexibility of design; can be expressed as: a) FAR = Gross Floor Area/Lot Area, b) Gross Floor Area = FAR x Lot Area. For example, a building with an FAR of 1.0 can take many different forms; e.g., a 1-story building over the entire lot; a two-story building over 1/2 of the lot; a four-story building over 1/4 of the lot; or any combination thereof.	디자인에 있어서 일정한 융통성을 부여하기 위한 밀도의 측정; 다음의 방법으로 표시하게 됨: 1) 면적율 = 총면적/공터 면적, 2) 총면적 = 면적율 x 공터 면적. 한 구획의 토지의 면적율과 공통면적가 미리 결정되게 되므로 "2"가 가장 일반적으로 사용되며 총면적은 대부분의 경우 알려지지 않은 상태가 된다. 예로 1.0 FAR 빌딩은 여러 형식을 취할 수가 있다; 예. 전체 공터 상의 1층빌딩; 공터 ½ 상의 2층 빌딩; 공터 1/4의 4층 빌딩; 혹은 여러 각종으로서 이들의 병합된 형식
2	Front yard	앞뜰	The area between the front of a structure (e.g., the portion facing the street) and the street, including portions of the side yard located in front of the structure.	구조물의 전면(예. 거리를 바라보는 부분)과 거리 사이의 구역. 구조물의 전면에 위치하는 측면 뜰을 포함하게 된다.
3	Gross Floor Area	총면적	The sum of the gross horizontal areas of the several floors of all buildings on the lot, measured from the exterior faces of exterior walls and from the center line of walls separating two (2) buildings.	공터상의 전체 빌딩의 몇몇의 층 부분의 총 수평면적의 총수로 외벽의 바깥면과 2개의 빌딩을 분리하는 벽의 중앙선으로부터 측정된다.
4	Historic district	역사적 구역	Area within a city or county formally recognized by the local, state, or federal government for its concentration of historic or notable structures.	도시나 카운티내의 구역으로 지역, 주 혹은 연방정부로부터 공식적으로 역사적이나 저명한 구조물의 집중된 장소로 인정되어진 구역.
5	Lot	공터	The land bounded by definite lines that, when occupied or to be occupied by a building or structure and accessory buildings, includes the open spaces required under this title. A lot may or may not be the land so recorded on the records of the Surveyor of the District of Columbia.	빌딩 혹은 구조물 및 부속빌딩의 점유시에 정립된 경계선으로 경계가 정해진 대지로 본 권리증서하에 요청되는 공개된 형식의 부분을 포함한다. 콜럼비아 구역의 측량기사의 기록에 기록에 있어 공터는 대지일 수도 그렇지 않을 수도 있는 형태로 기록된다.
6	Lot Occupancy (lot coverage)	공터 점유 (공터 범위)	That portion of a lot which is covered with buildings or structures; usually expressed as a maximum percentage; e.g., a maximum lot coverage of 40 percent means that no more than 40 percent of the lot area may be built over with buildings or structures.	빌딩이나 구성물에 의하여 점유되는 공터의 부분; 보통 최대 퍼센트로 표시됨; 예. 40퍼센트의 최대 공터 범위는 공터의 40퍼센트까지만이 빌딩이나 구성물로 점유될 수 있음을 의미한다.
7	Lot, width of	공터, 넓이	The distance between the side lot lines, measured along the building line; except that, in the case of an irregularly shaped lot, the width of the lot shall be the average distance between the side lot lines. Where the building line is on a skew, the width of the lot shall be the distance between side lot lines perpendicular to the axis of the lot taken where either side lot line intersects the building line.	빌딩 경계선을 따라 측정된 측면 공터 경계선간의 거리; 불규칙한 모양의 공터의 경우, 공터의 넓이는 측면 공터 경계선간의 평균 거리로 된다. 빌딩 경계선이 비스듬이 걸쳐진 경우 공터 넓이는 한쪽의 측면 공터 경계선이 빌딩 경계선과 교차되는 곳에서 취하여진 공터 축에서 직각을 이루는 측면 공터 경계선들간의 거리가 된다.
8	Map Amendment	지도 수정	A petition to the Zoning Commission to change the zoning designation on a property.	소유지상의 구역 지정에 대한 변경을 이루고자 하는 구역 설정 위원회로의 청원
9	Map Index	지도 지표	An index of the 18 tiles that define the areas of the DC Zoning Map.	DC 지역 설정 지도의 구역을 정의하는 18개의 권리증서의 지표
10	Matter of right (zoning)	권리 문제 (지역 설정)	The land uses and development densities and structural dimensions to which a property owner is entitled by zoning, with no additional special permission or approval required.	추가의 특정 허가증이나 승인을 요하지 않고서 지역 설정에 의해 소유지 소유주에게 부여되는 대지 사용 및 개발 밀도 및 구조 치수
11	Natural grade	자연 비탈	The undisturbed level formed without human intervention or, where the undisturbed ground level cannot be determined because of an existing building or structure, the undisturbed existing grade.	기존의 빌딩이나 구조물로 인하여 개입되어지지 않은 수평면이 결정되어질 수 없는 부분, 인간의 개입없이 형성된 수평면 혹은 기존의 개입이 이루어지지 않은 비탈
12	Nonconforming structure	불량적 구조	A structure, lawfully existing at the time this title or any amendment to this title became effective, that does not conform to all provisions of this title or the amendment, other than use, parking, loading, and roof structure requirements. Regulatory standards that create nonconformity of structures include, but are not limited to, height of building, lot area, width of lot, floor area ratio, lot occupancy, yard, court, and residential recreation space requirements.	본 권리증서나 본 증서에 대한 수정 부분이 유효하게 될 당시의 법적인 형태로서 존재하는 구조물로서 사용, 주차, 짐 싣기, 지붕 구조 규격 조건을 제외하고 본 증서나 수정의 전 조항에 어긋나는 형태. 구조물의 규정 준수가 이행되지 않는 부분에 대한 규제 조항으로서는 빌딩 높이, 공터 면적 및 넓이, 면적율, 공터 점유, 뜰, 안뜰, 거주지 레크리에이션 공간의 규격 조건 등이 있게 된다.
13	Overlay	오버레이	A zoning designation that modifies the basic underlying designation in some specific manner.	지역설정의 지정을 말하여 일정한 특정 형식으로서 기본적인 설정 부분을 수정한다.
14	Penthouse	펜트하우스	An enclosed structure, other than a roof structure, that penetrates a roof.	지붕 구조 이외의 지붕을 관통하는 폐쇄된 구조물.
15	Plat	플랫	A plat is a surveyor's map, accepted by the DC Surveyor, that delineates lot lines and other survey information for a lot.	DC 측량기사에 의해 수락된 측량기사 지도로 공터의 경계선 및 기타 측량 정보를 묘사한다.
16	Record Lot	기록 공터	A lot of land shown in the records of the Surveyor of the District of Columbia. Record lots are generally lots that have been recorded since 1790.	콜럼비아 구역 측량기사의 기록에 표시된 대지의 공터. 기록 공터는 일반적으로 1790년 이후로 기록되어진 공터를 말한다.
17	Residential Development	거주 개발	A development that consists only of residential use. 'Predominantly residential' means more than 50% residential use.	거주 사용만으로 구성되어지는 개발. '주거주 형태'의 의미는 50% 이상이 거주 사용의 형태를 갖음을 뜻한다.
18	Roof structure	지붕 구조	A structure that penetrates through a roof or is located on a roof, including a skylight, chimney, smokestack, water tank, bulkhead, penthouse, mechanical equipment, ventilator, parapet wall, and similar structures.	지붕을 관통하거나 지붕상에 위치하는 구조로서 천창, 굴뚝, 연돌, 물탱크, 격벽, 펜트하우스, 기계설비, 환풍기, 난간벽 및 유사한 구조물을 포함한다.
19	Row dwelling	연립 거주지	A group of three or more one-family dwellings attached in a row by common walls. A row dwelling unit is a single one-family dwelling unit within a row dwelling structure.	공유벽으로 연결된 3개 이상의 단일 가구 주거지의 집단. 연립 거주지 단위는 연립 거주지 구조물내의 단일 가구 거주지 단위를 말한다.
20	Semi-detached dwelling	반독립 거주지	A building having only one dwelling unit from ground to roof, with a yard on three (3) sides, attached along a common vertical wall to a similar dwelling on an adjacent lot.	지상에서 지붕까지 하나의 거주 단위만을 가지는 빌딩으로 3면에 뜰이 있고, 인접한 공터의 유사한 거주지에 공유 수직벽을 따라 연결되어 있다.
21	Setback	후퇴	The line defining the distance from the property line to a building, within which construction is not permitted.	소유지 경계선에서 빌딩까지의 거리를 정의하는 선으로 그 안에서는 건설이 허용되지 않는다.
22	Single Member District (SMD)	단일 회원 구역	A Single Member District means a boundary within an ANC developed by the DC City Council. Each SMD has approximately 2,000 residents, represented by an elected Commissioner to the Advisory Neighborhood Commission.	단일 회원 구역은 ANC내에 DC 도시 의회에 의하여 개발된 경계선을 뜻한다. 각 SMD는 자문 이웃 위원회에 선발된 이사로 대표되어지는 약 2000명의 거주민을 보유하고 있다.
23	Special Exception	특정 예외	A conditionally permitted use in a particular zone district; that is, a use that is permitted provided certain specific criteria are met.	특정 구역에 대한 조건부로서 허용되어지게 되는 사용; 즉, 일정한 특정 기준이 따르는 하에서 제공되어지는 허용의 형태.
24	Square	평방	A unit of land defined by the DC Surveyor that normally consists of a single city block and contains record and tax lots.	보통 DC 측량기사에 의해 정의된 대지의 단위으로 보통 1개 도시 구획으로 구성되며 기록 공터와 세금 공터를 포함한다.
25	Story	층	The space between the surface of two (2) successive floors in a building or between the top floor and the ceiling or underside of the roof framing. The number of stories shall be counted at the point from which the height of the building is measured.	빌딩내 2개의 연속적인 층의 표면들간, 상부층과 천정 혹은 지붕 구조의 하부면 사이의 공간. 층수는 빌딩 높이가 측정되는 지점에서 계산된다.
26	Structure	구조물	Something constructed, especially a building or a part of a building, but also including fences, trellises, gazebos, and similar standing features.	구성된 것. 특히 빌딩 혹은 빌딩의 일부. 또한 담, 트렐리스, 전망대 및 유사한 선 형태로서의 모형을 포함한다.
27	Suffix	접미사	A directional letter (i.e. N, S, E, or W) that follows the Square number.	평방 뒤의 방향을 지시하는 글자(예. N, S, E, W)
28	Tax Lots	세금 공터	A unit of land assigned by the real property tax administration that usually resides within a square. Often referred to as A&T lots or simply tax lots. These lots are strictly for real estate taxation purposes.	부동산 세금 행정국에 의하여 할당된 대지의 구획으로 1평방내에 해당됨. 종종 A&T 공터나 단순히 세금 공터로 지칭되어짐. 이들 공터는 부동산 세금의 목적만으로 이용된다.
29	Transferable Development Rights	전이 가능한 개발 권한	A method of protecting sensitive land or historic buildings in which the right to develop these properties is transferred to other, less sensitive sites.	민감한 대지나 역사적 빌딩을 보호하기 위한 방법으로 이들 소유물을 개발하기 위한 권한이 다른 민감성이 덜한 지역으로 전이되어지는 것을 뜻한다.
30	Use, accessory	사용, 부속	A use customarily incidental and subordinate to the principal use, and located on the same lot with the principal use.	주요 사용 형태에 관해 관례상으로 부수적이고 종속적인 사용. 주요 사용의 형태와 함께 동일한 대지상에 위치하게 됨.
31	Yard	뜰	An exterior space, other than a court, on the same lot with a building or other structure. A yard required by the provisions of the Zoning Regulations shall be open to the sky from the ground up, and shall not be occupied by any building or structure, except as specifically provided in the Zoning Regulations. No building or structure shall occupy in excess of fifty percent (50%) of a yard required by the Zoning Regulations.	빌딩이나 기타의 구조물과 함께 동일한 대지상에 위치하는 안뜰 이외로서의 외부 공간. 지역 설정 규제 조항에 따른 뜰은 지상으로부터 하늘을 향해 트여진 형태이어야 한다. 빌딩이나 구조물이 점유된 형태이어서는 아니되며 지역 설정 규제에 특정적으로 이것이 규제된 형태의 경우에 있어 제외되는 상태가 된다. 지역 설정 규제에 의거하여 뜰의 50% 이상을 초과하는 형태로서 빌딩이나 구조물이 점거되는 형태어서는 안된다.
