
==================================================
Sheet: 용어대조표
==================================================
No.	한국어 (Korean)	영어 (English)	비고 (Notes)
1	제·개정 이력	Document Revision History	문서관리
2	개요	Overview	섹션명
3	일반사항	General Information	섹션명
4	목적	Purpose	
5	기준서의 적용 범위	Application Scope of the Manual	
6	BIM 적용 수준에 대한 기본 원칙	Fundamental Principles for BIM Application Level	
7	기준서 기본 원칙	Basic Principles of the Manual	
8	적용 원칙	Application Principles	
9	책임 사항	Responsibilities	
10	기준서 구성	Structure of the Manual	
11	용어의 정의	Definitions of Terms	
12	BIM 데이터 작성 기준	Standards for BIM Data Development	섹션명
13	단계별 BIM 업무수행 절차	BIM Execution Procedures by Project Phase	
14	BIM 수행 환경 구축	Establishing BIM Execution Environment	
15	BIM 소프트웨어	BIM Software	
16	BIM 데이터 파일포맷	BIM Data File Formats	
17	프로젝트 개시를 위한 작업환경 설정	Work Environment Setup for Project Initiation	
18	공종의 분류	Classification of Disciplines	
19	BIM 데이터 파일명 작성 기준	BIM File Naming Convention	
20	BIM 데이터 작성	BIM Data Development	
21	BIM 데이터 작성 대상	BIM Data Development Targets	
22	분야별 Ground Rule	Discipline-Specific Ground Rules	
23	BIM 상세수준(LOD)	BIM Level of Detail (LOD)	
24	BIM Library 작성 기준	Standards for BIM Library Development	
25	Library 표준 속성 기준	Standard Parameter Requirements for Libraries	
26	공종별 BIM 데이터 작성 기준	Discipline-Specific BIM Data Development Standards	
27	MEP공종 SYSTEM 적용 기준	Standards for Applying MEP Systems	
28	BIM 성과품 작성	BIM Deliverables Development	섹션명
29	도면 작성 기준	Standards for Drawing Development	
30	수량산출 작성 기준	Standards for Quantity Take-Off	
31	BIM 수행계획서(BEP) 작성	Development of BIM Execution Plan (BEP)	
32	BIM 수행 결과보고서 작성	Development of BIM Execution Final Report	
33	BIM 데이터 품질검토 기준	Standards for BIM Data Quality Review	섹션명
34	BIM 데이터 품질검토 일반사항	General Information on BIM Data Quality Review	
35	BIM 데이터 품질검토 목적	Purpose of BIM Data Quality Review	
36	BIM 데이터 품질검토 기본원칙	Basic Principles of BIM Data Quality Review	
37	BIM 데이터 품질검토 기준 및 방법	Standards and Methods for BIM Data Quality Review	
38	BIM 데이터 품질검토 방법	Methods for BIM Data Quality Review	
39	BIM 성과품 납품 기준	Standards for BIM Deliverable Submission	섹션명
40	BIM 성과품 제출 원칙	Principles for BIM Deliverable Submission	
41	기본원칙	Basic Principles	
42	성과품 제출 규정	Submission Requirements	
43	BIM 성과품 대상	BIM Deliverable Targets	
44	BIM 성과품 구성	Composition of BIM Deliverables	
45	발주처	Client	일반
46	발주자	Client	일반
47	과업지시서	Statement of Work	일반
48	입찰안내서	Bid Instructions / Tender Documents	일반
49	설계공모 지침서	Design Competition Guidelines	일반
50	성과품	Deliverables	일반
51	납품	Submission / Delivery	일반
52	품질검토	Quality Review	일반
53	품질관리	Quality Control / Quality Management	일반
54	협업	Collaboration	일반
55	BIM 전면수행 방식	Full BIM Approach	BIM
56	BIM 병행수행 방식	Hybrid BIM Approach	BIM
